feature_set,model,weight_mode,objective,all_threshold,all_accuracy,all_balanced_accuracy,all_f1,all_tn,all_fp,all_fn,all_tp,all_sensitivity_high,all_specificity_low,all_auc,old_threshold,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_sensitivity_high,old_specificity_low,old_auc,third_threshold,third_accuracy,third_balanced_accuracy,third_f1,third_tn,third_fp,third_fn,third_tp,third_sensitivity_high,third_specificity_low,third_auc,adapt_threshold,adapt_accuracy,adapt_balanced_accuracy,adapt_f1,adapt_tn,adapt_fp,adapt_fn,adapt_tp,adapt_sensitivity_high,adapt_specificity_low,adapt_auc,holdout_threshold,holdout_accuracy,holdout_balanced_accuracy,holdout_f1,holdout_tn,holdout_fp,holdout_fn,holdout_tp,holdout_sensitivity_high,holdout_specificity_low,holdout_auc,old_guard_092,old_guard_090,selection_score
prob_only,logreg_bal_c0.01,domain_label_third_up,accuracy,0.625,0.8697123519458545,0.8467903100019496,0.8135593220338984,346,22,55,168,0.7533632286995515,0.9402173913043478,0.8995540066289724,0.625,0.9087719298245615,0.9085401891252955,0.9057971014492754,134,10,16,125,0.8865248226950354,0.9305555555555556,0.9490740740740741,0.625,0.8333333333333334,0.7354094076655052,0.6277372262773723,212,12,39,43,0.524390243902439,0.9464285714285714,0.8091245644599303,0.625,0.6666666666666666,0.6753246753246753,0.7,20,8,16,28,0.6363636363636364,0.7142857142857143,0.7280844155844155,0.625,0.8846153846153846,0.6871643394199785,0.5263157894736842,192,4,23,15,0.39473684210526316,0.9795918367346939,0.7109291084854994,False,True,0.8043976345898476
prob_only,logreg_bal_c0.01,domain_label_third_up,high_sensitivity,0.4749999999999999,0.8477157360406091,0.8476798596217586,0.8076923076923077,312,56,34,189,0.8475336322869955,0.8478260869565217,0.8995540066289724,0.4749999999999999,0.9052631578947369,0.905363475177305,0.9052631578947369,129,15,12,129,0.9148936170212766,0.8958333333333334,0.9490740740740741,0.4749999999999999,0.7941176470588235,0.7743358013937283,0.6557377049180327,183,41,22,60,0.7317073170731707,0.8169642857142857,0.8091245644599303,0.4749999999999999,0.6666666666666666,0.6038961038961039,0.7647058823529411,9,19,5,39,0.8863636363636364,0.32142857142857145,0.7280844155844155,0.4749999999999999,0.8333333333333334,0.7201933404940923,0.5185185185185185,174,22,17,21,0.5526315789473685,0.8877551020408163,0.7109291084854994,False,True,0.8000520938887943
prob_only,logreg_plain_c0.01,none,old_third_balanced,0.42499999999999993,0.8510998307952623,0.8486303372977189,0.8095238095238095,316,52,36,187,0.8385650224215246,0.8586956521739131,0.8985669721193216,0.42499999999999993,0.9157894736842105,0.9159278959810875,0.916083916083916,130,14,10,131,0.9290780141843972,0.9027777777777778,0.9504531126871553,0.42499999999999993,0.7908496732026143,0.7566419860627178,0.6363636363636364,186,38,26,56,0.6829268292682927,0.8303571428571429,0.8015570557491289,0.42499999999999993,0.6666666666666666,0.6298701298701299,0.7446808510638298,13,15,9,35,0.7954545454545454,0.4642857142857143,0.7159090909090908,0.42499999999999993,0.8290598290598291,0.7176423200859292,0.5121951219512195,173,23,17,21,0.5526315789473685,0.8826530612244898,0.7074382384532761,False,True,0.8305642443454861
prob_only,logreg_plain_c0.01,none,accuracy,0.59,0.8697123519458545,0.8441399395593683,0.8108108108108109,349,19,58,165,0.7399103139013453,0.9483695652173914,0.8985669721193216,0.59,0.9052631578947369,0.9049940898345155,0.9018181818181819,134,10,17,124,0.8794326241134752,0.9305555555555556,0.9504531126871553,0.59,0.8366013071895425,0.7299107142857143,0.6212121212121212,215,9,41,41,0.5,0.9598214285714286,0.8015570557491289,0.59,0.6666666666666666,0.6883116883116883,0.6842105263157895,22,6,18,26,0.5909090909090909,0.7857142857142857,0.7159090909090908,0.59,0.8888888888888888,0.6897153598281418,0.5357142857142857,193,3,23,15,0.39473684210526316,0.9846938775510204,0.7074382384532761,False,True,0.7906330565540887
prob_only,logreg_plain_c0.01,none,high_sensitivity,0.42499999999999993,0.8510998307952623,0.8486303372977189,0.8095238095238095,316,52,36,187,0.8385650224215246,0.8586956521739131,0.8985669721193216,0.42499999999999993,0.9157894736842105,0.9159278959810875,0.916083916083916,130,14,10,131,0.9290780141843972,0.9027777777777778,0.9504531126871553,0.42499999999999993,0.7908496732026143,0.7566419860627178,0.6363636363636364,186,38,26,56,0.6829268292682927,0.8303571428571429,0.8015570557491289,0.42499999999999993,0.6666666666666666,0.6298701298701299,0.7446808510638298,13,15,9,35,0.7954545454545454,0.4642857142857143,0.7159090909090908,0.42499999999999993,0.8290598290598291,0.7176423200859292,0.5121951219512195,173,23,17,21,0.5526315789473685,0.8826530612244898,0.7074382384532761,False,True,0.8305642443454861
prob_only,logreg_plain_c0.01,label,old_third_balanced,0.4799999999999999,0.8494077834179357,0.8481550984597388,0.8086021505376344,314,54,35,188,0.8430493273542601,0.8532608695652174,0.8988837980113082,0.4799999999999999,0.9122807017543859,0.9123817966903074,0.9122807017543859,130,14,11,130,0.9219858156028369,0.9027777777777778,0.9502561071710007,0.4799999999999999,0.7908496732026143,0.7643728222996515,0.6444444444444445,184,40,24,58,0.7073170731707317,0.8214285714285714,0.8020470383275262,0.4799999999999999,0.6666666666666666,0.6168831168831169,0.7551020408163265,11,17,7,37,0.8409090909090909,0.39285714285714285,0.7199675324675324,0.4799999999999999,0.8290598290598291,0.7176423200859292,0.5121951219512195,173,23,17,21,0.5526315789473685,0.8826530612244898,0.7078410311493019,False,True,0.820807510300982
prob_only,logreg_plain_c0.01,label,accuracy,0.63,0.8663282571912013,0.8423060050692143,0.8077858880778589,346,22,57,166,0.7443946188340808,0.9402173913043478,0.8988837980113082,0.63,0.9052631578947369,0.9049940898345155,0.9018181818181819,134,10,17,124,0.8794326241134752,0.9305555555555556,0.9502561071710007,0.63,0.8300653594771242,0.7293118466898955,0.6176470588235294,212,12,40,42,0.5121951219512195,0.9464285714285714,0.8020470383275262,0.63,0.6527777777777778,0.663961038961039,0.6835443037974683,20,8,17,27,0.6136363636363636,0.7142857142857143,0.7199675324675324,0.63,0.8846153846153846,0.6871643394199785,0.5263157894736842,192,4,23,15,0.39473684210526316,0.9795918367346939,0.7078410311493019,False,True,0.7894490494146476
prob_only,logreg_plain_c0.01,label,high_sensitivity,0.4799999999999999,0.8494077834179357,0.8481550984597388,0.8086021505376344,314,54,35,188,0.8430493273542601,0.8532608695652174,0.8988837980113082,0.4799999999999999,0.9122807017543859,0.9123817966903074,0.9122807017543859,130,14,11,130,0.9219858156028369,0.9027777777777778,0.9502561071710007,0.4799999999999999,0.7908496732026143,0.7643728222996515,0.6444444444444445,184,40,24,58,0.7073170731707317,0.8214285714285714,0.8020470383275262,0.4799999999999999,0.6666666666666666,0.6168831168831169,0.7551020408163265,11,17,7,37,0.8409090909090909,0.39285714285714285,0.7199675324675324,0.4799999999999999,0.8290598290598291,0.7176423200859292,0.5121951219512195,173,23,17,21,0.5526315789473685,0.8826530612244898,0.7078410311493019,False,True,0.820807510300982
prob_only,logreg_plain_c0.01,domain_label,old_third_balanced,0.48499999999999993,0.8494077834179357,0.8472716416455449,0.8077753779697624,315,53,36,187,0.8385650224215246,0.8559782608695652,0.8990300253460713,0.48499999999999993,0.9122807017543859,0.9123817966903074,0.9122807017543859,130,14,11,130,0.9219858156028369,0.9027777777777778,0.9505516154452324,0.48499999999999993,0.7908496732026143,0.7605074041811846,0.6404494382022472,185,39,25,57,0.6951219512195121,0.8258928571428571,0.8013392857142858,0.48499999999999993,0.6666666666666666,0.6233766233766234,0.75,12,16,8,36,0.8181818181818182,0.42857142857142855,0.7167207792207791,0.48499999999999993,0.8290598290598291,0.7176423200859292,0.5121951219512195,173,23,17,21,0.5526315789473685,0.8826530612244898,0.7082438238453276,False,True,0.8194932681407032
prob_only,logreg_plain_c0.01,domain_label,accuracy,0.635,0.8663282571912013,0.8423060050692143,0.8077858880778589,346,22,57,166,0.7443946188340808,0.9402173913043478,0.8990300253460713,0.635,0.9052631578947369,0.9049940898345155,0.9018181818181819,134,10,17,124,0.8794326241134752,0.9305555555555556,0.9505516154452324,0.635,0.8300653594771242,0.7293118466898955,0.6176470588235294,212,12,40,42,0.5121951219512195,0.9464285714285714,0.8013392857142858,0.635,0.6527777777777778,0.663961038961039,0.6835443037974683,20,8,17,27,0.6136363636363636,0.7142857142857143,0.7167207792207791,0.635,0.8846153846153846,0.6871643394199785,0.5263157894736842,192,4,23,15,0.39473684210526316,0.9795918367346939,0.7082438238453276,False,True,0.7894490494146476
prob_only,logreg_plain_c0.01,domain_label,high_sensitivity,0.48499999999999993,0.8494077834179357,0.8472716416455449,0.8077753779697624,315,53,36,187,0.8385650224215246,0.8559782608695652,0.8990300253460713,0.48499999999999993,0.9122807017543859,0.9123817966903074,0.9122807017543859,130,14,11,130,0.9219858156028369,0.9027777777777778,0.9505516154452324,0.48499999999999993,0.7908496732026143,0.7605074041811846,0.6404494382022472,185,39,25,57,0.6951219512195121,0.8258928571428571,0.8013392857142858,0.48499999999999993,0.6666666666666666,0.6233766233766234,0.75,12,16,8,36,0.8181818181818182,0.42857142857142855,0.7167207792207791,0.48499999999999993,0.8290598290598291,0.7176423200859292,0.5121951219512195,173,23,17,21,0.5526315789473685,0.8826530612244898,0.7082438238453276,False,True,0.8194932681407032
prob_only,logreg_plain_c0.01,domain_label_third_up,old_third_balanced,0.625,0.871404399323181,0.8481490056541237,0.8155339805825242,347,21,55,168,0.7533632286995515,0.9429347826086957,0.8994808929615908,0.625,0.9087719298245615,0.9085401891252955,0.9057971014492754,134,10,16,125,0.8865248226950354,0.9305555555555556,0.9491725768321513,0.625,0.8366013071895425,0.7376415505226481,0.6323529411764706,213,11,39,43,0.524390243902439,0.9508928571428571,0.8091790069686412,0.625,0.6666666666666666,0.6753246753246753,0.7,20,8,16,28,0.6363636363636364,0.7142857142857143,0.7280844155844155,0.625,0.8888888888888888,0.6897153598281418,0.5357142857142857,193,3,23,15,0.39473684210526316,0.9846938775510204,0.7105263157894737,False,True,0.8056467592397076
prob_only,logreg_plain_c0.01,domain_label_third_up,accuracy,0.625,0.871404399323181,0.8481490056541237,0.8155339805825242,347,21,55,168,0.7533632286995515,0.9429347826086957,0.8994808929615908,0.625,0.9087719298245615,0.9085401891252955,0.9057971014492754,134,10,16,125,0.8865248226950354,0.9305555555555556,0.9491725768321513,0.625,0.8366013071895425,0.7376415505226481,0.6323529411764706,213,11,39,43,0.524390243902439,0.9508928571428571,0.8091790069686412,0.625,0.6666666666666666,0.6753246753246753,0.7,20,8,16,28,0.6363636363636364,0.7142857142857143,0.7280844155844155,0.625,0.8888888888888888,0.6897153598281418,0.5357142857142857,193,3,23,15,0.39473684210526316,0.9846938775510204,0.7105263157894737,False,True,0.8056467592397076
