score,recall_target,model,train_scope,pass_n,pass_frac,pass_acc,hardlike_n,hard_recall,hard_precision,base_acc,base_bacc,final_acc,final_bacc,final_auc,final_sens,final_spec,final_tn,final_fp,final_fn,final_tp,hard_base_acc,hard_final_acc,rescued,hurt,rescued_hard,hurt_hard,feature_set
review_score_hybrid_max_allrange_fn,0.65,gb,flag_train,151,0.5298245614035088,0.8609271523178808,134,0.6461538461538462,0.31343283582089554,0.7684210526315789,0.7684692671394799,0.8070175438596491,0.8065159574468085,0.8313632781717888,0.7588652482269503,0.8541666666666666,123,21,34,107,0.27692307692307694,0.4307692307692308,20,9,12,2,raw_plus_review_gross
review_score_hybrid_max_allrange_fn,0.9,gb,flag_train,41,0.14385964912280702,0.8536585365853658,244,0.9076923076923077,0.24180327868852458,0.7684210526315789,0.7684692671394799,0.7859649122807018,0.7858303782505911,0.8212421197793537,0.7730496453900709,0.7986111111111112,115,29,32,109,0.27692307692307694,0.35384615384615387,15,10,9,4,raw_plus_review_gross
review_score_hybrid_max_allrange_fn,0.65,gb,all_train,151,0.5298245614035088,0.8609271523178808,134,0.6461538461538462,0.31343283582089554,0.7684210526315789,0.7684692671394799,0.7859649122807018,0.7857565011820331,0.8376920803782506,0.7659574468085106,0.8055555555555556,116,28,33,108,0.27692307692307694,0.35384615384615387,13,8,8,3,raw_plus_review_gross
review_score_upper_low_conf,0.9,gb,all_train,83,0.2912280701754386,0.9156626506024096,202,0.8769230769230769,0.28217821782178215,0.7684210526315789,0.7684692671394799,0.7859649122807018,0.7856826241134751,0.8477639873916469,0.7588652482269503,0.8125,117,27,34,107,0.27692307692307694,0.3384615384615385,14,9,8,4,raw_plus_review_gross
review_score_upper_low_conf,0.95,gb,all_train,51,0.17894736842105263,0.9215686274509803,234,0.9384615384615385,0.2606837606837607,0.7684210526315789,0.7684692671394799,0.7859649122807018,0.7856826241134751,0.8452521670606777,0.7588652482269503,0.8125,117,27,34,107,0.27692307692307694,0.3384615384615385,14,9,8,4,raw_plus_review_gross
review_score_upper_low_conf,0.85,gb,all_train,97,0.34035087719298246,0.8969072164948454,188,0.8461538461538461,0.2925531914893617,0.7684210526315789,0.7684692671394799,0.7859649122807018,0.7856826241134751,0.8447596532702916,0.7588652482269503,0.8125,117,27,34,107,0.27692307692307694,0.3384615384615385,14,9,8,4,raw_plus_review_gross
review_score_upper_low_conf,0.7,gb,flag_train,142,0.4982456140350877,0.852112676056338,143,0.7076923076923077,0.32167832167832167,0.7684210526315789,0.7684692671394799,0.7859649122807018,0.7856826241134751,0.8424448384554767,0.7588652482269503,0.8125,117,27,34,107,0.27692307692307694,0.4461538461538462,20,15,14,3,raw_plus_review_gross
review_score_hybrid_max_allrange_fn,0.75,gb,flag_train,94,0.3298245614035088,0.851063829787234,191,0.7692307692307693,0.2617801047120419,0.7684210526315789,0.7684692671394799,0.7859649122807018,0.7856826241134751,0.8146670606776989,0.7588652482269503,0.8125,117,27,34,107,0.27692307692307694,0.38461538461538464,15,10,8,1,raw_plus_review_gross
review_score_upper_low_conf,0.95,gb,flag_train,51,0.17894736842105263,0.9215686274509803,234,0.9384615384615385,0.2606837606837607,0.7684210526315789,0.7684692671394799,0.7859649122807018,0.7856087470449172,0.8487490149724192,0.75177304964539,0.8194444444444444,118,26,35,106,0.27692307692307694,0.36923076923076925,16,11,9,3,raw_plus_review_gross
review_score_hybrid_max_allrange_fn,0.7,gb,flag_train,129,0.45263157894736844,0.8682170542635659,156,0.7230769230769231,0.30128205128205127,0.7684210526315789,0.7684692671394799,0.7859649122807018,0.7855348699763594,0.8223256501182035,0.7446808510638298,0.8263888888888888,119,25,36,105,0.27692307692307694,0.4153846153846154,20,15,13,4,raw_plus_review_gross
review_score_upper_low_conf,0.65,rf,flag_train,154,0.5403508771929825,0.8441558441558441,131,0.676923076923077,0.33587786259541985,0.7684210526315789,0.7684692671394799,0.7824561403508772,0.7826536643026005,0.8374704491725767,0.8014184397163121,0.7638888888888888,110,34,28,113,0.27692307692307694,0.36923076923076925,10,6,7,1,raw_plus_review_gross
review_score_learn_hard_core_extra,0.7,logreg,flag_train,135,0.47368421052631576,0.8518518518518519,150,0.6923076923076923,0.3,0.7684210526315789,0.7684692671394799,0.7824561403508772,0.7824320330969268,0.8481087470449172,0.7801418439716312,0.7847222222222222,113,31,31,110,0.27692307692307694,0.4,22,18,12,4,raw_plus_review_gross
review_score_upper_low_conf,0.7,logreg,all_train,142,0.4982456140350877,0.852112676056338,143,0.7076923076923077,0.32167832167832167,0.7684210526315789,0.7684692671394799,0.7824561403508772,0.7823581560283688,0.8339736012608353,0.7730496453900709,0.7916666666666666,114,30,32,109,0.27692307692307694,0.4153846153846154,18,14,12,3,raw_plus_review_gross
review_score_upper_low_conf,0.8,gb,all_train,111,0.3894736842105263,0.8648648648648649,174,0.8,0.2988505747126437,0.7684210526315789,0.7684692671394799,0.7824561403508772,0.782210401891253,0.8414844365642238,0.7588652482269503,0.8055555555555556,116,28,34,107,0.27692307692307694,0.3384615384615385,13,9,8,4,raw_plus_review_gross
review_score_upper_low_conf,0.75,gb,all_train,129,0.45263157894736844,0.8527131782945736,156,0.7230769230769231,0.30128205128205127,0.7684210526315789,0.7684692671394799,0.7824561403508772,0.782210401891253,0.8406964144996059,0.7588652482269503,0.8055555555555556,116,28,34,107,0.27692307692307694,0.3384615384615385,13,9,8,4,raw_plus_review_gross
review_score_hybrid_max_allrange_fn,0.7,gb,all_train,129,0.45263157894736844,0.8682170542635659,156,0.7230769230769231,0.30128205128205127,0.7684210526315789,0.7684692671394799,0.7824561403508772,0.782210401891253,0.8369286840031521,0.7588652482269503,0.8055555555555556,116,28,34,107,0.27692307692307694,0.3384615384615385,13,9,8,4,raw_plus_review_gross
review_score_hybrid_max_allrange_fn,0.95,gb,all_train,27,0.09473684210526316,0.8888888888888888,258,0.9538461538461539,0.24031007751937986,0.7684210526315789,0.7684692671394799,0.7824561403508772,0.782210401891253,0.8340721040189126,0.7588652482269503,0.8055555555555556,116,28,34,107,0.27692307692307694,0.3384615384615385,14,10,8,4,raw_plus_review_gross
review_score_learn_hard_core_extra,0.8,gb,all_train,79,0.2771929824561403,0.8481012658227848,206,0.8153846153846154,0.25728155339805825,0.7684210526315789,0.7684692671394799,0.7824561403508772,0.782210401891253,0.8329146966115052,0.7588652482269503,0.8055555555555556,116,28,34,107,0.27692307692307694,0.3230769230769231,13,9,7,4,raw_plus_review_gross
review_score_learn_hard_core_extra,0.9,gb,all_train,30,0.10526315789473684,0.8333333333333334,255,0.9230769230769231,0.23529411764705882,0.7684210526315789,0.7684692671394799,0.7824561403508772,0.782210401891253,0.831215524034673,0.7588652482269503,0.8055555555555556,116,28,34,107,0.27692307692307694,0.3384615384615385,14,10,8,4,raw_plus_review_gross
review_score_learn_hard_core_extra,0.95,gb,all_train,25,0.08771929824561403,0.8,260,0.9230769230769231,0.23076923076923078,0.7684210526315789,0.7684692671394799,0.7824561403508772,0.782210401891253,0.8302797478329392,0.7588652482269503,0.8055555555555556,116,28,34,107,0.27692307692307694,0.3384615384615385,14,10,8,4,raw_plus_review_gross
review_score_hybrid_max_allrange_fn,0.9,gb,all_train,41,0.14385964912280702,0.8536585365853658,244,0.9076923076923077,0.24180327868852458,0.7684210526315789,0.7684692671394799,0.7824561403508772,0.782210401891253,0.8294917257683215,0.7588652482269503,0.8055555555555556,116,28,34,107,0.27692307692307694,0.3384615384615385,14,10,8,4,raw_plus_review_gross
review_score_hybrid_max_allrange_fn,0.8,gb,all_train,74,0.2596491228070175,0.8378378378378378,211,0.7846153846153846,0.24170616113744076,0.7684210526315789,0.7684692671394799,0.7824561403508772,0.782210401891253,0.8242218282111899,0.7588652482269503,0.8055555555555556,116,28,34,107,0.27692307692307694,0.3384615384615385,14,10,8,4,raw_plus_review_gross
review_score_hybrid_max_allrange_fn,0.85,gb,all_train,56,0.19649122807017544,0.8214285714285714,229,0.8307692307692308,0.23580786026200873,0.7684210526315789,0.7684692671394799,0.7824561403508772,0.782210401891253,0.8222025216706068,0.7588652482269503,0.8055555555555556,116,28,34,107,0.27692307692307694,0.3384615384615385,14,10,8,4,raw_plus_review_gross
review_score_hybrid_max_allrange_fn,0.8,gb,flag_train,74,0.2596491228070175,0.8378378378378378,211,0.7846153846153846,0.24170616113744076,0.7684210526315789,0.7684692671394799,0.7824561403508772,0.782136524822695,0.8095202915681639,0.75177304964539,0.8125,117,27,35,106,0.27692307692307694,0.3230769230769231,14,10,7,4,raw_plus_review_gross
review_score_learn_hard_core_extra,0.75,logreg,flag_train,115,0.40350877192982454,0.8521739130434782,170,0.7384615384615385,0.2823529411764706,0.7684210526315789,0.7684692671394799,0.7789473684210526,0.7791075650118203,0.8391449960598897,0.7943262411347518,0.7638888888888888,110,34,29,112,0.27692307692307694,0.4461538461538462,24,21,13,2,raw_plus_review_gross
review_score_upper_low_conf,0.8,gb,flag_train,111,0.3894736842105263,0.8648648648648649,174,0.8,0.2988505747126437,0.7684210526315789,0.7684692671394799,0.7789473684210526,0.7788859338061466,0.8405732860520094,0.7730496453900709,0.7847222222222222,113,31,32,109,0.27692307692307694,0.4461538461538462,19,16,13,2,raw_plus_review_gross
