candidate_id,scope,n,baseline_adaptive_review_n,baseline_adaptive_review_rate,flip_n,flip_rate,remaining_review_n,remaining_review_rate,flip_error_n,rescued_n,hurt_n,base_raw_error_n,base_raw_balanced_accuracy,accuracy,balanced_accuracy,f1,sensitivity_high,specificity_low,tn,fp,fn,tp,auc
nested_or_locked_selected,old_data_nested,285,154,0.5403508771929825,1,0.0035087719298245615,153,0.5368421052631579,1,0,1,1,0.9965277777777778,0.9964912280701754,0.9965277777777778,0.9964664310954063,1.0,0.9930555555555556,143,1,0,141,0.8737687155240348
nested_or_locked_selected,third_batch_nested,306,164,0.5359477124183006,1,0.0032679738562091504,163,0.5326797385620915,0,1,0,9,0.9528527874564461,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.9878048780487805,1.0,224,0,1,81,0.818270905923345
nested_or_locked_selected,internal_nested_old_third,591,318,0.5380710659898477,2,0.00338409475465313,316,0.5346869712351946,1,1,1,10,0.9802288457789043,0.9966159052453468,0.9963991518814583,0.9955156950672646,0.9955156950672646,0.9972826086956522,367,1,1,222,0.860011698186781
nested_or_locked_selected,strict_external_locked,108,94,0.8703703703703703,0,0.0,94,0.8703703703703703,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,61,0,0,47,0.67317753749564
nested_or_locked_selected,all_domains_nested_plus_locked_external,699,412,0.5894134477825465,2,0.002861230329041488,410,0.586552217453505,1,1,1,10,0.9835405335405336,0.9971387696709585,0.996982646982647,0.9962962962962963,0.9962962962962963,0.9976689976689976,428,1,1,269,0.8353017353017353
