score,accept_acc_at_30,accept_bacc_at_30,hardcore_recall_at_30,error_recall_at_30,fn_recall_at_30,review_frac_for_acc90,accept_n_for_acc90,hardcore_recall_at_acc90,error_recall_at_acc90
ensemble_prob_range,0.8241206030150754,0.8243079409981815,0.47692307692307695,0.4696969696969697,0.5,,,,
learn_hard_core_model_only_rf,0.8241206030150754,0.8247625782986462,0.4461538461538462,0.4696969696969697,0.3125,,,,
learn_hard_core_model_only_logreg,0.8190954773869347,0.8187512628813902,0.5076923076923077,0.45454545454545453,0.375,,,,
ensemble_prob_std,0.8190954773869347,0.8190909090909091,0.46153846153846156,0.45454545454545453,0.4375,,,,
learn_hard_core_model_only_extra,0.8140703517587939,0.8147100424328146,0.47692307692307695,0.4393939393939394,0.28125,,,,
learn_upper_wrong_model_embedding_history_rf,0.8040201005025126,0.8042028692665185,0.4461538461538462,0.4090909090909091,0.34375,,,,
learn_hard_core_model_embedding_basic_extra,0.8040201005025126,0.803939393939394,0.4307692307692308,0.4090909090909091,0.34375,,,,
learn_hard_core_model_embedding_history_extra,0.8040201005025126,0.8037482319660537,0.4307692307692308,0.4090909090909091,0.34375,,,,
learn_upper_wrong_model_embedding_basic_extra,0.7989949748743719,0.7988888888888889,0.47692307692307695,0.3939393939393939,0.3125,,,,
learn_upper_wrong_model_only_logreg,0.7989949748743719,0.7994538834951457,0.4461538461538462,0.3939393939393939,0.3125,,,,
upper_low_conf,0.7989949748743719,0.7989492826833704,0.4307692307692308,0.3939393939393939,0.375,,,,
learn_upper_wrong_model_only_rf,0.7989949748743719,0.7990999190938511,0.4307692307692308,0.3939393939393939,0.34375,,,,
learn_hard_core_model_embedding_basic_rf,0.7989949748743719,0.798939393939394,0.4153846153846154,0.3939393939393939,0.34375,,,,
learn_hard_core_model_embedding_basic_logreg,0.7989949748743719,0.798939393939394,0.38461538461538464,0.3939393939393939,0.34375,,,,
learn_upper_wrong_model_embedding_history_gross_rf,0.7989949748743719,0.7998078478964401,0.38461538461538464,0.3939393939393939,0.28125,,,,
learn_upper_wrong_model_embedding_history_logreg,0.7989949748743719,0.7988888888888889,0.3230769230769231,0.3939393939393939,0.4375,,,,
learn_upper_wrong_model_embedding_history_extra,0.7939698492462312,0.7946049707011518,0.4307692307692308,0.3787878787878788,0.21875,,,,
learn_hard_core_model_embedding_history_gross_extra,0.7939698492462312,0.7939660400242571,0.4,0.3787878787878788,0.34375,,,,
learn_upper_wrong_model_embedding_basic_rf,0.7939698492462312,0.7938915857605178,0.38461538461538464,0.3787878787878788,0.34375,,,,
learn_upper_wrong_model_embedding_basic_logreg,0.7939698492462312,0.7938915857605178,0.35384615384615387,0.3787878787878788,0.34375,,,,
learn_upper_wrong_model_embedding_history_gross_extra,0.7939698492462312,0.7952887537993921,0.35384615384615387,0.3787878787878788,0.25,,,,
learn_hard_core_model_embedding_history_logreg,0.7939698492462312,0.7935441503334006,0.3384615384615385,0.3787878787878788,0.28125,,,,
learn_upper_wrong_model_only_extra,0.7889447236180904,0.7890909090909091,0.4307692307692308,0.36363636363636365,0.25,,,,
learn_hard_core_model_embedding_history_rf,0.7889447236180904,0.788888888888889,0.4,0.36363636363636365,0.3125,,,,
learn_hard_core_model_embedding_history_gross_rf,0.7889447236180904,0.789199838351182,0.36923076923076925,0.36363636363636365,0.28125,,,,
vote_disagree,0.7839195979899497,0.7838383838383838,0.38461538461538464,0.3484848484848485,0.375,,,,
learn_upper_wrong_model_embedding_history_gross_logreg,0.7839195979899497,0.783323189287888,0.3076923076923077,0.3484848484848485,0.3125,,,,
learn_upper_fn_model_embedding_history_logreg,0.7688442211055276,0.7411764705882353,0.24615384615384617,0.30303030303030304,0.5625,,,,
learn_upper_fn_model_embedding_history_gross_extra,0.7638190954773869,0.7328781512605043,0.3230769230769231,0.2878787878787879,0.59375,,,,
learn_hard_core_model_embedding_history_gross_logreg,0.7638190954773869,0.7637962401455427,0.2923076923076923,0.2878787878787879,0.25,,,,
learn_upper_fn_model_embedding_history_rf,0.7638190954773869,0.7328059071729958,0.2923076923076923,0.2878787878787879,0.5625,,,,
learn_upper_fn_model_embedding_basic_extra,0.7587939698492462,0.7264780673871583,0.27692307692307694,0.2727272727272727,0.53125,,,,
learn_upper_fn_model_embedding_basic_rf,0.7587939698492462,0.7264780673871583,0.27692307692307694,0.2727272727272727,0.53125,,,,
learn_upper_fn_model_embedding_basic_logreg,0.7587939698492462,0.7307247899159663,0.26153846153846155,0.2727272727272727,0.53125,,,,
learn_upper_fn_model_embedding_history_gross_logreg,0.7587939698492462,0.7382633984212712,0.24615384615384617,0.2727272727272727,0.5,,,,
learn_upper_fn_model_embedding_history_extra,0.7537688442211056,0.7201405152224825,0.2923076923076923,0.25757575757575757,0.5,,,,
learn_upper_fn_model_embedding_history_gross_rf,0.7537688442211056,0.7201405152224825,0.27692307692307694,0.25757575757575757,0.5,,,,
learn_upper_fn_model_only_extra,0.7487437185929648,0.7136470087289759,0.27692307692307694,0.24242424242424243,0.5,,,,
learn_upper_fn_model_only_rf,0.7437185929648241,0.7072100984167737,0.24615384615384617,0.22727272727272727,0.46875,,,,
learn_upper_fn_model_only_logreg,0.7386934673366834,0.7076711167620259,0.26153846153846155,0.21212121212121213,0.4375,,,,
