feature_set,model,target_accept_acc,selection_mode,correct_auc,accept_n,accept_frac,review_n,review_frac,review_error_precision,error_recall_in_review,fn_recall_in_review,hardcore_recall_in_review,accept_accuracy,accept_balanced_accuracy,accept_specificity_low,accept_sensitivity_high,accept_tn,accept_fp,accept_fn,accept_tp,review_base_n,review_base_accuracy,review_base_balanced_accuracy,review_base_specificity_low,review_base_sensitivity_high,review_base_tn,review_base_fp,review_base_fn,review_base_tp,final_if_review_corrected_n,final_if_review_corrected_accuracy,final_if_review_corrected_balanced_accuracy,final_if_review_corrected_specificity_low,final_if_review_corrected_sensitivity_high,final_if_review_corrected_tn,final_if_review_corrected_fp,final_if_review_corrected_fn,final_if_review_corrected_tp
raw_plus_simple_review,rf_shallow,0.9,wilson90,0.6312439463124394,17,0.05964912280701754,268,0.9403508771929825,0.23507462686567165,0.9545454545454546,0.90625,0.9538461538461539,0.8235294117647058,0.85,1.0,0.7,7,0,3,7,268,0.7649253731343284,0.7652253858583606,0.7518248175182481,0.7786259541984732,103,34,29,102,285,0.9894736842105263,0.9893617021276595,1.0,0.9787234042553191,144,0,3,138
raw_plus_all_review,rf_shallow,0.9,wilson90,0.6270236612702366,16,0.056140350877192984,269,0.9438596491228071,0.2342007434944238,0.9545454545454546,0.90625,0.9538461538461539,0.8125,0.85,1.0,0.7,6,0,3,7,269,0.7657992565055762,0.7661245713021352,0.7536231884057971,0.7786259541984732,104,34,29,102,285,0.9894736842105263,0.9893617021276595,1.0,0.9787234042553191,144,0,3,138
raw_outputs,logreg_l2,0.9,wilson90,0.5199252801992528,0,0.0,285,1.0,0.23157894736842105,1.0,1.0,1.0,,,,,0,0,0,0,285,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,285,1.0,1.0,1.0,1.0,144,0,0,141
raw_outputs,extra_shallow,0.9,wilson90,0.6068216410682163,0,0.0,285,1.0,0.23157894736842105,1.0,1.0,1.0,,,,,0,0,0,0,285,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,285,1.0,1.0,1.0,1.0,144,0,0,141
raw_outputs,gb_small,0.9,wilson90,0.5458350629583506,0,0.0,285,1.0,0.23157894736842105,1.0,1.0,1.0,,,,,0,0,0,0,285,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,285,1.0,1.0,1.0,1.0,144,0,0,141
raw_plus_simple_review,logreg_l2,0.9,wilson90,0.5110004151100042,0,0.0,285,1.0,0.23157894736842105,1.0,1.0,1.0,,,,,0,0,0,0,285,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,285,1.0,1.0,1.0,1.0,144,0,0,141
raw_plus_simple_review,extra_shallow,0.9,wilson90,0.6216272312162723,0,0.0,285,1.0,0.23157894736842105,1.0,1.0,1.0,,,,,0,0,0,0,285,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,285,1.0,1.0,1.0,1.0,144,0,0,141
raw_plus_simple_review,gb_small,0.9,wilson90,0.5624394631243946,0,0.0,285,1.0,0.23157894736842105,1.0,1.0,1.0,,,,,0,0,0,0,285,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,285,1.0,1.0,1.0,1.0,144,0,0,141
raw_plus_all_review,logreg_l2,0.9,wilson90,0.578870900788709,0,0.0,285,1.0,0.23157894736842105,1.0,1.0,1.0,,,,,0,0,0,0,285,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,285,1.0,1.0,1.0,1.0,144,0,0,141
raw_plus_all_review,extra_shallow,0.9,wilson90,0.622734191227342,0,0.0,285,1.0,0.23157894736842105,1.0,1.0,1.0,,,,,0,0,0,0,285,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,285,1.0,1.0,1.0,1.0,144,0,0,141
