policy,grouping,group_key,n,auto_n,review_n,release_from_review_n,auto_error_n,auto_high_risk_fn_n,domain,task_l6_label,label_idx,v195_auto_n,v195_review_n,v195_auto_error_n,v195_auto_high_risk_fn_n,auto_delta_vs_v195,review_delta_vs_v195,auto_error_delta_vs_v195,auto_high_risk_fn_delta_vs_v195
phase1_all_safe_union,domain_label,old_data|B2,60,50,10,18,0,0,old_data,B2,,49,11,0,0,1,-1,0,0
phase1_all_safe_union,domain_label,old_data|B3,24,17,7,7,0,0,old_data,B3,,17,7,0,0,0,0,0,0
phase1_all_safe_union,domain_label,old_data|TC,57,48,9,11,0,0,old_data,TC,,47,10,0,0,1,-1,0,0
phase1_all_safe_union,domain_label,strict_external|A,8,5,3,4,0,0,strict_external,A,,5,3,0,0,0,0,0,0
phase1_all_safe_union,domain_label,strict_external|AB,39,28,11,23,0,0,strict_external,AB,,23,16,0,0,5,-5,0,0
phase1_all_safe_union,domain_label,strict_external|B1,11,11,0,8,0,0,strict_external,B1,,9,2,0,0,2,-2,0,0
phase1_all_safe_union,domain_label,strict_external|B1_B2_mixed,1,0,1,0,0,0,strict_external,B1_B2_mixed,,0,1,0,0,0,0,0,0
phase1_all_safe_union,domain_label,strict_external|B2,28,9,19,9,0,0,strict_external,B2,,8,20,0,0,1,-1,0,0
phase1_all_safe_union,domain_label,strict_external|B2_B3_mixed,3,2,1,2,0,0,strict_external,B2_B3_mixed,,1,2,0,0,1,-1,0,0
phase1_all_safe_union,domain_label,strict_external|B3,10,3,7,1,0,0,strict_external,B3,,2,8,0,0,1,-1,0,0
phase1_all_safe_union,domain_label,strict_external|MNT_assumed_low,3,2,1,1,0,0,strict_external,MNT_assumed_low,,2,1,0,0,0,0,0,0
phase1_all_safe_union,domain_label,strict_external|TC,5,3,2,1,0,0,strict_external,TC,,2,3,0,0,1,-1,0,0
phase1_all_safe_union,domain_label,third_batch|AB,212,166,46,57,0,0,third_batch,AB,,121,91,0,0,45,-45,0,0
phase1_all_safe_union,domain_label,third_batch|B1,12,11,1,10,0,0,third_batch,B1,,7,5,0,0,4,-4,0,0
phase1_all_safe_union,domain_label,third_batch|B2,29,16,13,8,0,0,third_batch,B2,,16,13,0,0,0,0,0,0
phase1_all_safe_union,domain_label,third_batch|TC,53,41,12,17,1,1,third_batch,TC,,41,12,1,1,0,0,0,0
phase1_all_safe_union,domain_label_idx,old_data|0,144,120,24,68,0,0,old_data,,0.0,97,47,0,0,23,-23,0,0
phase1_all_safe_union,domain_label_idx,old_data|1,141,115,26,36,0,0,old_data,,1.0,113,28,0,0,2,-2,0,0
phase1_all_safe_union,domain_label_idx,strict_external|0,61,46,15,36,0,0,strict_external,,0.0,39,22,0,0,7,-7,0,0
phase1_all_safe_union,domain_label_idx,strict_external|1,47,17,30,13,0,0,strict_external,,1.0,13,34,0,0,4,-4,0,0
phase1_all_safe_union,domain_label_idx,third_batch|0,224,177,47,67,0,0,third_batch,,0.0,128,96,0,0,49,-49,0,0
phase1_all_safe_union,domain_label_idx,third_batch|1,82,57,25,25,1,1,third_batch,,1.0,57,25,1,1,0,0,0,0
phase2_min10_both_domain_union,domain,old_data,285,235,50,104,0,0,old_data,,,210,75,0,0,25,-25,0,0
phase2_min10_both_domain_union,domain,strict_external,108,57,51,43,0,0,strict_external,,,52,56,0,0,5,-5,0,0
phase2_min10_both_domain_union,domain,third_batch,306,233,73,91,1,1,third_batch,,,185,121,1,1,48,-48,0,0
phase2_min10_both_domain_union,label,A,52,39,13,23,0,0,,A,,33,19,0,0,6,-6,0,0
phase2_min10_both_domain_union,label,AB,301,234,67,91,0,0,,AB,,180,121,0,0,54,-54,0,0
phase2_min10_both_domain_union,label,B1,73,65,8,53,0,0,,B1,,49,24,0,0,16,-16,0,0
phase2_min10_both_domain_union,label,B1_B2_mixed,1,0,1,0,0,0,,B1_B2_mixed,,0,1,0,0,0,0,0,0
phase2_min10_both_domain_union,label,B2,117,74,43,34,0,0,,B2,,73,44,0,0,1,-1,0,0
phase2_min10_both_domain_union,label,B2_B3_mixed,3,1,2,1,0,0,,B2_B3_mixed,,1,2,0,0,0,0,0,0
phase2_min10_both_domain_union,label,B3,34,19,15,7,0,0,,B3,,19,15,0,0,0,0,0,0
phase2_min10_both_domain_union,label,MNT_assumed_low,3,2,1,1,0,0,,MNT_assumed_low,,2,1,0,0,0,0,0,0
phase2_min10_both_domain_union,label,TC,115,91,24,28,1,1,,TC,,90,25,1,1,1,-1,0,0
phase2_min10_both_domain_union,domain_label,old_data|A,44,34,10,19,0,0,old_data,A,,28,16,0,0,6,-6,0,0
phase2_min10_both_domain_union,domain_label,old_data|AB,50,43,7,14,0,0,old_data,AB,,36,14,0,0,7,-7,0,0
phase2_min10_both_domain_union,domain_label,old_data|B1,50,43,7,35,0,0,old_data,B1,,33,17,0,0,10,-10,0,0
phase2_min10_both_domain_union,domain_label,old_data|B2,60,50,10,18,0,0,old_data,B2,,49,11,0,0,1,-1,0,0
phase2_min10_both_domain_union,domain_label,old_data|B3,24,17,7,7,0,0,old_data,B3,,17,7,0,0,0,0,0,0
phase2_min10_both_domain_union,domain_label,old_data|TC,57,48,9,11,0,0,old_data,TC,,47,10,0,0,1,-1,0,0
phase2_min10_both_domain_union,domain_label,strict_external|A,8,5,3,4,0,0,strict_external,A,,5,3,0,0,0,0,0,0
phase2_min10_both_domain_union,domain_label,strict_external|AB,39,26,13,21,0,0,strict_external,AB,,23,16,0,0,3,-3,0,0
phase2_min10_both_domain_union,domain_label,strict_external|B1,11,11,0,8,0,0,strict_external,B1,,9,2,0,0,2,-2,0,0
phase2_min10_both_domain_union,domain_label,strict_external|B1_B2_mixed,1,0,1,0,0,0,strict_external,B1_B2_mixed,,0,1,0,0,0,0,0,0
phase2_min10_both_domain_union,domain_label,strict_external|B2,28,8,20,8,0,0,strict_external,B2,,8,20,0,0,0,0,0,0
phase2_min10_both_domain_union,domain_label,strict_external|B2_B3_mixed,3,1,2,1,0,0,strict_external,B2_B3_mixed,,1,2,0,0,0,0,0,0
phase2_min10_both_domain_union,domain_label,strict_external|B3,10,2,8,0,0,0,strict_external,B3,,2,8,0,0,0,0,0,0
phase2_min10_both_domain_union,domain_label,strict_external|MNT_assumed_low,3,2,1,1,0,0,strict_external,MNT_assumed_low,,2,1,0,0,0,0,0,0
phase2_min10_both_domain_union,domain_label,strict_external|TC,5,2,3,0,0,0,strict_external,TC,,2,3,0,0,0,0,0,0
phase2_min10_both_domain_union,domain_label,third_batch|AB,212,165,47,56,0,0,third_batch,AB,,121,91,0,0,44,-44,0,0
phase2_min10_both_domain_union,domain_label,third_batch|B1,12,11,1,10,0,0,third_batch,B1,,7,5,0,0,4,-4,0,0
phase2_min10_both_domain_union,domain_label,third_batch|B2,29,16,13,8,0,0,third_batch,B2,,16,13,0,0,0,0,0,0
phase2_min10_both_domain_union,domain_label,third_batch|TC,53,41,12,17,1,1,third_batch,TC,,41,12,1,1,0,0,0,0
phase2_min10_both_domain_union,domain_label_idx,old_data|0,144,120,24,68,0,0,old_data,,0.0,97,47,0,0,23,-23,0,0
phase2_min10_both_domain_union,domain_label_idx,old_data|1,141,115,26,36,0,0,old_data,,1.0,113,28,0,0,2,-2,0,0
phase2_min10_both_domain_union,domain_label_idx,strict_external|0,61,44,17,34,0,0,strict_external,,0.0,39,22,0,0,5,-5,0,0
phase2_min10_both_domain_union,domain_label_idx,strict_external|1,47,13,34,9,0,0,strict_external,,1.0,13,34,0,0,0,0,0,0
phase2_min10_both_domain_union,domain_label_idx,third_batch|0,224,176,48,66,0,0,third_batch,,0.0,128,96,0,0,48,-48,0,0
phase2_min10_both_domain_union,domain_label_idx,third_batch|1,82,57,25,25,1,1,third_batch,,1.0,57,25,1,1,0,0,0,0
