policy,scope,n,accuracy,balanced_accuracy,f1,auc,fn,fp,auto_decision_n,auto_decision_rate,review_or_reject_n,review_or_reject_rate,auto_error_n,auto_error_rate,auto_error_wilson95_high,auto_high_risk_fn_n,auto_low_risk_fp_n,granularity,release_fraction,released_n,released_error_n,released_high_risk_fn_n
fraction_granularity_domain_shift,third_batch,306,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0,197,0.6437908496732027,109,0.3562091503267974,1,0.005076142131979695,0.028188298832299362,1,0,domain_shift,0.1,12,0,0
fraction_granularity_domain_shift,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,57,0.5277777777777778,51,0.4722222222222222,0,0.0,0.06313883485297894,0,0,domain_shift,0.1,5,0,0
fraction_granularity_domain_shift,internal_known,591,0.9983079526226735,0.9977578475336323,0.9977528089887641,0.860011698186781,1,0,414,0.700507614213198,177,0.29949238578680204,1,0.0024154589371980675,0.013553569164107528,1,0,domain_shift,0.1,19,0,0
fraction_granularity_domain_shift,all_domains,699,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0,471,0.6738197424892703,228,0.3261802575107296,1,0.0021231422505307855,0.011927028956641147,1,0,domain_shift,0.1,24,0,0
fraction_granularity_domain_shift,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,219,0.7684210526315789,66,0.23157894736842105,0,0.0,0.017238528418471243,0,0,domain_shift,0.125,9,0,0
fraction_granularity_domain_shift,third_batch,306,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0,200,0.6535947712418301,106,0.3464052287581699,1,0.005,0.02777370439789293,1,0,domain_shift,0.125,15,0,0
fraction_granularity_domain_shift,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,59,0.5462962962962963,49,0.4537037037037037,0,0.0,0.061129370526788386,0,0,domain_shift,0.125,7,0,0
fraction_granularity_domain_shift,internal_known,591,0.9983079526226735,0.9977578475336323,0.9977528089887641,0.860011698186781,1,0,419,0.7089678510998308,172,0.2910321489001692,1,0.002386634844868735,0.013393349163386092,1,0,domain_shift,0.125,24,0,0
fraction_granularity_domain_shift,all_domains,699,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0,478,0.6838340486409156,221,0.31616595135908443,1,0.0020920502092050207,0.011753803038745458,1,0,domain_shift,0.125,31,0,0
fraction_granularity_domain_shift,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,221,0.775438596491228,64,0.22456140350877193,0,0.0,0.017085189007591345,0,0,domain_shift,0.15,11,0,0
fraction_granularity_domain_shift,third_batch,306,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0,203,0.6633986928104575,103,0.3366013071895425,1,0.0049261083743842365,0.02737112877451363,1,0,domain_shift,0.15,18,0,0
fraction_granularity_domain_shift,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,60,0.5555555555555556,48,0.4444444444444444,0,0.0,0.06017185214208986,0,0,domain_shift,0.15,8,0,0
fraction_granularity_domain_shift,internal_known,591,0.9983079526226735,0.9977578475336323,0.9977528089887641,0.860011698186781,1,0,424,0.7174280879864636,167,0.2825719120135364,1,0.0023584905660377358,0.013236872894653978,1,0,domain_shift,0.15,29,0,0
fraction_granularity_domain_shift,all_domains,699,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0,484,0.6924177396280401,215,0.30758226037195996,1,0.002066115702479339,0.011609279330905695,1,0,domain_shift,0.15,37,0,0
fraction_granularity_domain_shift,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,223,0.7824561403508772,62,0.21754385964912282,0,0.0,0.016934553501221267,0,0,domain_shift,0.175,13,0,0
fraction_granularity_domain_shift,third_batch,306,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0,206,0.673202614379085,100,0.32679738562091504,1,0.0048543689320388345,0.026980056809881546,1,0,domain_shift,0.175,21,0,0
fraction_granularity_domain_shift,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,61,0.5648148148148148,47,0.4351851851851852,0,0.0,0.05924386789811283,0,0,domain_shift,0.175,9,0,0
fraction_granularity_domain_shift,internal_known,591,0.9983079526226735,0.9977578475336323,0.9977528089887641,0.860011698186781,1,0,429,0.7258883248730964,162,0.27411167512690354,1,0.002331002331002331,0.01308401065840669,1,0,domain_shift,0.175,34,0,0
fraction_granularity_domain_shift,all_domains,699,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0,490,0.7010014306151645,209,0.2989985693848355,1,0.0020408163265306124,0.011468266546600792,1,0,domain_shift,0.175,43,0,0
fraction_granularity_domain_shift,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,225,0.7894736842105263,60,0.21052631578947367,0,0.0,0.016786551005620237,0,0,domain_shift,0.2,15,0,0
fraction_granularity_domain_shift,third_batch,306,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0,209,0.6830065359477124,97,0.31699346405228757,1,0.004784688995215311,0.026600002377375767,1,0,domain_shift,0.2,24,0,0
fraction_granularity_domain_shift,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,63,0.5833333333333334,45,0.4166666666666667,0,0.0,0.057471199588851725,0,0,domain_shift,0.2,11,0,0
fraction_granularity_domain_shift,internal_known,591,0.9983079526226735,0.9977578475336323,0.9977528089887641,0.860011698186781,1,0,434,0.7343485617597293,157,0.2656514382402707,1,0.002304147465437788,0.01293463867788233,1,0,domain_shift,0.2,39,0,0
fraction_granularity_domain_shift,all_domains,699,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0,497,0.7110157367668097,202,0.28898426323319026,1,0.002012072434607646,0.01130802075319972,1,0,domain_shift,0.2,50,0,0
